Hour,DayOfWeek,Month,DayOfYear,Average_Temperature_C,netload
14,0,8,237,29.0,35.53024627353606
15,0,8,237,28.9,34.83224215165762
16,0,8,237,29.0,31.055802873590153
17,0,8,237,29.1,28.087679982471048
18,0,8,237,28.3,15.355758931721795
19,0,8,237,28.1,16.458031563456274
20,0,8,237,27.9,17.922756182336748
21,0,8,237,27.9,18.401029644127718
22,0,8,237,27.8,46.589388037032634
23,0,8,237,27.7,116.50270749701826
0,1,8,238,27.5,423.625813797489
1,1,8,238,27.4,478.3370184160398
2,1,8,238,26.7,486.72499720432194
3,1,8,238,26.5,510.21722236584543
4,1,8,238,26.6,176.34998844821905
5,1,8,238,26.4,466.8979597661389
6,1,8,238,26.5,450.39792869063206
7,1,8,238,27.6,477.32967104306323
8,1,8,238,29.8,456.0702650621885
9,1,8,238,31.6,239.44690740436405
10,1,8,238,32.3,134.88115323711497
11,1,8,238,32.7,48.75471570865438
12,1,8,238,31.6,37.15586785658693
13,1,8,238,32.6,32.72208633485205
14,1,8,238,33.0,33.845054388497566
15,1,8,238,32.0,33.48898391638424
16,1,8,238,30.6,33.07596100405973
17,1,8,238,29.8,32.034209369735095
18,1,8,238,28.5,16.51722287986801
19,1,8,238,27.9,14.902576711454238
20,1,8,238,27.9,15.27008694639286
21,1,8,238,28.1,14.652681506878306
22,1,8,238,28.0,43.85109585202867
23,1,8,238,27.5,121.9279108855684
0,2,8,239,27.1,409.4291424339233
1,2,8,239,26.7,448.9934267858626
2,2,8,239,26.1,442.77402947233196
3,2,8,239,25.7,459.05499188931134
4,2,8,239,25.5,166.7111540442417
5,2,8,239,25.5,471.04154974198985
6,2,8,239,25.4,450.90777228361503
7,2,8,239,27.6,448.93549135785264
8,2,8,239,29.3,450.9153770723419
9,2,8,239,30.4,220.55904273269374
10,2,8,239,31.4,141.71218550312466
11,2,8,239,32.4,51.98725941415675
12,2,8,239,32.8,40.73333937082068
13,2,8,239,34.0,37.68033354689874
14,2,8,239,34.5,38.00811583753111
15,2,8,239,32.4,36.98583092419811
16,2,8,239,31.9,31.410462391897354
17,2,8,239,30.3,28.48712036205716
18,2,8,239,29.8,18.94013144995286
19,2,8,239,28.1,16.188771233703733
20,2,8,239,27.7,17.68434479381764
21,2,8,239,28.3,16.301780218890425
22,2,8,239,28.2,43.17842094135652
23,2,8,239,27.9,99.96065195803513
0,3,8,240,27.5,393.7889949224101
1,3,8,240,26.5,450.41625998397114
2,3,8,240,27.4,470.86788951241
3,3,8,240,27.0,444.6077328941894
4,3,8,240,25.9,165.67488333611453
5,3,8,240,25.3,488.9463402540626
6,3,8,240,25.6,435.98951182957654
7,3,8,240,27.4,478.30188079859425
8,3,8,240,29.2,431.84978681936894
9,3,8,240,30.3,192.76717935545176
10,3,8,240,33.1,66.50089360328352
11,3,8,240,31.8,50.24517019542266
12,3,8,240,31.2,47.65666138655893
13,3,8,240,32.3,41.472291130362436
14,3,8,240,33.2,40.91754344548739
15,3,8,240,31.7,40.92238749216635
16,3,8,240,30.6,37.99657052069712
17,3,8,240,30.0,34.916552389366124
18,3,8,240,28.5,22.035860725370306
19,3,8,240,27.5,21.642627002187456
20,3,8,240,27.5,24.630522250296938
21,3,8,240,27.5,24.965041878440104
22,3,8,240,27.4,49.84000959060413
23,3,8,240,27.5,118.51747821257757
0,4,8,241,26.9,390.4914161690608
1,4,8,241,26.3,453.04106079296594
2,4,8,241,25.6,453.0704475947637
3,4,8,241,25.5,468.43520999418627
4,4,8,241,25.2,193.34861141166678
5,4,8,241,24.8,499.28342432656456
6,4,8,241,25.2,453.0754952352555
7,4,8,241,26.9,476.9914005000779
8,4,8,241,28.3,435.57645298574556
9,4,8,241,30.7,159.64106586013247
10,4,8,241,30.4,59.51848215532157
11,4,8,241,31.8,42.300722920363
12,4,8,241,32.5,37.48272785731126
13,4,8,241,33.1,32.647449794847226
14,4,8,241,32.1,32.809675380363934
15,4,8,241,31.6,36.29262583202854
16,4,8,241,31.7,35.56882100551285
17,4,8,241,30.3,33.52939029871821
18,4,8,241,28.8,16.301189077856076
19,4,8,241,27.9,13.644949489304443
20,4,8,241,27.5,13.637433417141438
21,4,8,241,27.4,13.86112428001312
22,4,8,241,27.3,13.98772006276731
23,4,8,241,27.3,15.595870474670688
0,5,8,242,27.5,17.48681161622772
1,5,8,242,26.2,13.588121547135719
2,5,8,242,26.4,13.142144573835342
3,5,8,242,25.9,19.380453786483304
4,5,8,242,25.5,26.96768970971357
5,5,8,242,25.5,27.239386835216514
6,5,8,242,25.3,23.354100399191445
7,5,8,242,28.2,20.039724717519622
8,5,8,242,30.7,17.50177915709388
9,5,8,242,31.6,16.195873899173655
10,5,8,242,32.7,15.973502010988938
11,5,8,242,33.9,15.789905413749253
12,5,8,242,34.6,15.353032969120576
13,5,8,242,35.3,14.929459357740283
14,5,8,242,35.2,14.197271387584179
15,5,8,242,34.9,14.201711705465321
16,5,8,242,34.5,14.370765896415207
17,5,8,242,34.4,14.237966240346681
18,5,8,242,31.0,14.151581576279364
19,5,8,242,29.4,13.463864221738325
20,5,8,242,29.2,14.554872291924955
21,5,8,242,28.4,13.568637525386928
22,5,8,242,28.5,12.854351199180028
23,5,8,242,27.4,13.738058215228177
0,6,8,243,26.2,13.768874842845413
1,6,8,243,25.9,14.047956276375507
2,6,8,243,24.7,13.875819798528934
3,6,8,243,25.1,15.547776417269015
4,6,8,243,24.8,17.317846076236428
5,6,8,243,24.6,17.269017559060494
6,6,8,243,24.6,17.540507401698626
7,6,8,243,27.3,17.253845585720775
8,6,8,243,29.9,17.92968831238862
9,6,8,243,30.8,16.28488585171136
10,6,8,243,32.4,14.829490695058654
11,6,8,243,34.5,14.85877483125658
12,6,8,243,35.2,14.505787585420256
13,6,8,243,35.2,14.348670681608851
14,6,8,243,34.1,14.580299862753884
15,6,8,243,33.3,14.08281012382084
16,6,8,243,33.1,14.740938200606806
17,6,8,243,31.2,14.403422044475189
18,6,8,243,29.5,13.561447452247624
19,6,8,243,28.0,14.215483852531984
20,6,8,243,27.9,15.350220799201825
21,6,8,243,27.8,18.05329038746392
22,6,8,243,27.5,57.88629708967214
23,6,8,243,27.1,122.94363088379839
0,0,9,244,27.8,278.15008407501614
1,0,9,244,27.2,487.4535008510241
2,0,9,244,27.2,485.2289296542648
3,0,9,244,26.7,494.0098109190979
4,0,9,244,26.2,175.93239879694298
5,0,9,244,26.2,480.66794695142704
6,0,9,244,26.4,463.70658032819273
7,0,9,244,28.1,459.5823319539258
8,0,9,244,30.9,464.8610024495932
9,0,9,244,33.4,238.28456049629236
10,0,9,244,34.3,157.70137093647725
11,0,9,244,32.5,46.85658170075823
12,0,9,244,34.7,36.36209704154943
13,0,9,244,34.0,32.21576678907749
14,0,9,244,33.3,32.7729026591382
15,0,9,244,32.8,32.319209004676516
16,0,9,244,31.5,32.36828557420532
17,0,9,244,30.3,30.462478443947095
18,0,9,244,29.1,16.75137922145834
19,0,9,244,28.0,15.056704061383769
20,0,9,244,28.3,16.93493524309726
21,0,9,244,28.2,18.456473593340547
22,0,9,244,28.1,55.29735974809732
23,0,9,244,27.7,127.88651599497157
0,1,9,245,27.4,433.00246791569316
1,1,9,245,27.3,457.79245432021384
2,1,9,245,27.2,487.73166930032744
3,1,9,245,27.2,481.3729264899803
4,1,9,245,27.0,172.83204541016897
5,1,9,245,26.0,494.16930373505306
6,1,9,245,26.9,511.371638593308
7,1,9,245,28.7,476.0007819366243
8,1,9,245,30.8,457.15897325079584
9,1,9,245,30.3,236.1075440399777
10,1,9,245,32.1,160.09853074497798
11,1,9,245,32.1,55.29703003112625
12,1,9,245,31.7,42.67267582057383
13,1,9,245,32.9,36.659847922815686
14,1,9,245,31.8,37.38861270118054
15,1,9,245,31.0,36.45289201971126
16,1,9,245,30.1,35.73280018760151
17,1,9,245,29.7,33.575288223210855
18,1,9,245,28.9,16.896036305030464
19,1,9,245,28.6,14.576388867402713
20,1,9,245,28.1,14.559317448936458
21,1,9,245,28.3,19.681681430403575
22,1,9,245,28.2,56.46285625151973
23,1,9,245,27.4,134.18861267956868
0,2,9,246,27.4,419.70058666485124
1,2,9,246,26.4,482.1353914774239
2,2,9,246,26.4,484.52314350226743
3,2,9,246,26.4,484.68267850671816
4,2,9,246,26.0,181.46662263480715
